player_id,short_name,long_name,player_positions,overall,potential,age,dob,height_cm,weight_kg,nationality_name,club_name,league_id,league_name,preferred_foot,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,movement_reactions,mentality_composure,mentality_vision,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,player_traits
209331,Mohamed Salah,Mohamed Salah,"RM, RW",91,91,34,1992-06-15,175,72,Egypt,Liverpool,13,Premier League,Left,3,4,89,88,86,90,45,76,94,93,89,14,14,9,11,14,,"Low Driven Shot, Gamechanger, Whipped Pass, Inventive, Technical, First Touch, Finesse Shot+"
231747,Kylian Mbappé,Kylian Mbappé,"ST, LW, LM",91,94,27,1998-12-20,182,75,France,Real Madrid,53,LALIGA EA SPORTS,Right,4,5,97,90,81,92,37,76,91,88,83,13,5,7,11,6,,"Finesse Shot, Acrobatic, Low Driven Shot, Gamechanger, Rapid, First Touch, Quick Step+"
231443,Ousmane Dembélé,Ousmane Dembélé,"ST, RW, CAM",90,90,29,1997-05-15,178,67,France,Paris SG,,Ligue 1 McDonald's,Left,5,5,91,88,83,93,50,69,91,88,84,6,6,14,10,13,,"Low Driven Shot, Pinged Pass, Inventive, Trickster, Quick Step, Rapid+"
231866,Rodri,Rodrigo Hernández Cascante,"CDM, CM",90,90,30,1996-06-22,190,82,Spain,Manchester City,13,Premier League,Right,4,3,65,80,86,84,86,85,93,93,84,10,10,7,14,8,,"Power Shot, Long Ball Pass, Aerial Fortress, Press Proven, Bruiser, Tiki Taka+"
203376,Virgil van Dijk,Virgil van Dijk,CB,90,90,35,1991-07-08,193,92,Netherlands,Liverpool,13,Premier League,Right,3,2,73,60,72,72,90,87,90,90,70,13,10,13,11,11,,"Precision Header, Pinged Pass, Jockey, Anticipate, Aerial Fortress, Bruiser, Intercept+"
252371,Jude Bellingham,Jude Bellingham,"CAM, CM",90,94,23,2003-06-29,186,75,England,Real Madrid,53,LALIGA EA SPORTS,Right,4,4,80,86,83,90,78,85,91,90,90,14,11,10,5,8,,"Low Driven Shot, Gamechanger, Inventive, Slide Tackle, Technical, First Touch, Relentless+"
239085,Erling Haaland,Erling Haaland,ST,90,92,26,2000-07-21,195,94,Norway,Manchester City,13,Premier League,Left,3,3,86,91,70,80,45,88,93,86,74,7,14,13,11,7,,"Chip Shot, Power Shot, Precision Header, Acrobatic, Gamechanger, Enforcer, Low Driven Shot+"
233419,Raphinha,Raphael Dias Belloli,"LM, LW",89,89,29,1996-12-14,176,68,Brazil,FC Barcelona,53,LALIGA EA SPORTS,Left,4,4,91,84,85,87,53,75,87,85,87,8,7,13,8,14,,"Finesse Shot, Power Shot, Trickster, Quick Step, Relentless, Rapid+"
235212,Achraf Hakimi,Achraf Hakimi,"RB, RM",89,90,27,1998-11-04,181,73,Morocco,Paris SG,,Ligue 1 McDonald's,Right,4,4,92,79,82,83,82,79,90,84,78,10,8,14,6,8,,"Low Driven Shot, Whipped Pass, Jockey, Anticipate, Press Proven, Quick Step, Relentless+"
277643,Lamine Yamal,Lamine Yamal Nasraoui Ebana,"RM, RW",89,95,19,2007-07-13,180,72,Spain,FC Barcelona,53,LALIGA EA SPORTS,Left,3,5,85,81,86,90,23,53,88,84,88,9,13,7,10,7,,"Finesse Shot, Gamechanger, Incisive Pass, Inventive, First Touch, Quick Step, Technical+"
255253,Vitinha,Vítor Machado Ferreira,"CM, CDM, CAM",89,91,26,2000-02-13,172,64,Portugal,Paris SG,,Ligue 1 McDonald's,Right,3,4,72,80,86,90,75,70,88,88,90,12,13,8,5,5,,"Finesse Shot, Incisive Pass, Long Ball Pass, Tiki Taka, Intercept, Relentless, Technical+"
230621,Gianluigi Donnarumma,Gianluigi Donnarumma,GK,89,91,27,1999-02-25,196,90,Italy,Manchester City,13,Premier League,Right,3,1,90,83,70,90,52,87,87,54,60,90,83,70,87,90,,"Footwork, Deflector+"
251854,Pedri,Pedro González López,"CM, CDM, CAM",89,93,23,2002-11-25,174,60,Spain,FC Barcelona,53,LALIGA EA SPORTS,Right,4,4,77,73,85,91,78,77,87,90,91,12,7,11,8,8,,"Incisive Pass, Long Ball Pass, Tiki Taka, Technical, Relentless, First Touch+"
212622,Joshua Kimmich,Joshua Kimmich,"CDM, RB, CM",89,89,31,1995-02-08,177,75,Germany,FC Bayern München,19,Bundesliga,Right,4,3,72,74,89,84,83,79,89,86,86,8,15,7,15,15,,"Finesse Shot, Whipped Pass, Anticipate, Press Proven, Relentless, Long Ball Pass+"
212831,Alisson,Alisson Ramses Becker,GK,89,89,33,1992-10-02,193,91,Brazil,Liverpool,13,Premier League,Right,3,1,86,85,86,89,56,90,87,66,66,86,85,86,90,89,,"Far Throw, Deflector, Rush Out+"
202126,Harry Kane,Harry Kane,ST,89,89,33,1993-07-28,188,86,England,FC Bayern München,19,Bundesliga,Right,4,3,64,92,83,82,48,82,94,92,86,8,10,11,14,11,,"Precision Header, Low Driven Shot, Gamechanger, Long Ball Pass, First Touch, Finesse Shot+"
239053,Federico Valverde,Federico Valverde,"CM, CDM, RB",89,90,28,1998-07-22,182,74,Uruguay,Real Madrid,53,LALIGA EA SPORTS,Right,4,3,88,84,84,84,83,85,89,84,86,6,10,6,15,8,,"Power Shot, Long Ball Pass, Intercept, Slide Tackle, Aerial Fortress, Rapid, Relentless+"
238794,Vini Jr.,Vinícius José de Oliveira Júnior,"LW, ST, LM",89,92,26,2000-07-12,176,73,Brazil,Real Madrid,53,LALIGA EA SPORTS,Right,4,5,95,84,81,91,29,69,85,83,85,5,7,7,7,10,,"Finesse Shot, Chip Shot, Gamechanger, Inventive, Rapid, First Touch, Quick Step+"
256630,Florian Wirtz,Florian Wirtz,"CAM, ST, CM",89,93,23,2003-05-03,177,71,Germany,Liverpool,13,Premier League,Right,4,4,80,82,88,90,54,67,88,86,91,14,14,13,6,10,,"Finesse Shot, Chip Shot, Low Driven Shot, Inventive, Technical, First Touch, Incisive Pass+"
192119,Thibaut Courtois,Thibaut Courtois,GK,89,89,34,1992-05-11,200,96,Belgium,Real Madrid,53,LALIGA EA SPORTS,Left,3,1,85,89,76,90,46,88,88,66,44,85,89,76,88,90,,"Far Throw, Rush Out, Cross Claimer+"
188545,Robert Lewandowski,Robert Lewandowski,ST,88,88,38,1988-08-21,185,81,Poland,FC Barcelona,53,LALIGA EA SPORTS,Right,4,4,74,89,79,85,44,84,89,87,81,15,6,12,8,10,,"Finesse Shot, Power Shot, Precision Header, Low Driven Shot, Incisive Pass, First Touch, Chip Shot+"
231478,Lautaro Martínez,Lautaro Martínez,ST,88,88,29,1997-08-22,174,72,Argentina,Lombardia FC,,Serie A Enilive,Right,4,4,81,88,75,84,51,83,92,88,79,11,8,8,8,13,,"Power Shot, Precision Header, Incisive Pass, Technical, Relentless, Enforcer, Gamechanger+"
233731,Alexander Isak,Alexander Isak,ST,88,89,26,1999-09-21,192,77,Sweden,Liverpool,13,Premier League,Right,4,4,83,89,73,85,39,76,87,88,80,7,6,9,7,11,,"Power Shot, Low Driven Shot, Gamechanger, Rapid, First Touch, Finesse Shot+"
256790,Jamal Musiala,Jamal Musiala,"CAM, LM, CM, ST",88,92,23,2003-02-26,184,72,Germany,FC Bayern München,19,Bundesliga,Right,4,5,80,82,80,90,66,65,89,83,84,6,9,8,8,11,,"Precision Header, Low Driven Shot, Gamechanger, Incisive Pass, Inventive, Trickster, Technical+"
232580,Gabriel,Gabriel dos S. Magalhães,CB,88,88,28,1997-12-19,190,87,Brazil,Arsenal,13,Premier League,Left,2,2,64,44,64,65,88,84,88,79,63,12,8,13,10,7,,"Precision Header, Bruiser+"
246669,Bukayo Saka,Bukayo Saka,"RW, RM",88,90,24,2001-09-05,178,65,England,Arsenal,13,Premier League,Left,4,3,84,82,85,88,60,73,88,82,86,7,8,13,9,13,,"Finesse Shot, Technical, Whipped Pass+"
200389,Jan Oblak,Jan Oblak,GK,88,88,33,1993-01-07,188,87,Slovenia,Atlético de Madrid,,LALIGA EA SPORTS,Right,3,1,85,90,78,87,46,86,85,68,67,85,90,78,86,87,,"Far Throw, Far Reach, Cross Claimer+"
257534,Cole Palmer,Cole Palmer,"CAM, RM, ST",87,90,24,2002-05-06,185,76,England,Chelsea,13,Premier League,Left,3,4,75,83,87,87,50,65,88,89,89,7,6,10,14,14,,"Finesse Shot, Low Driven Shot, Gamechanger, Incisive Pass, Technical, First Touch, Inventive+"
247635,Khvicha Kvaratskhelia,Khvicha Kvaratskhelia,"LW, RW, LM",87,90,25,2001-02-12,183,70,Georgia,Paris SG,,Ligue 1 McDonald's,Right,5,5,86,80,83,88,58,78,84,84,85,9,15,8,14,8,,"Finesse Shot, Gamechanger, Incisive Pass, Technical, Trickster, Inventive+"
237383,Alessandro Bastoni,Alessandro Bastoni,CB,87,89,27,1999-04-13,190,75,Italy,Lombardia FC,,Serie A Enilive,Left,2,2,74,46,75,76,88,82,89,85,72,11,5,9,11,12,,"Pinged Pass, Long Ball Pass, Whipped Pass, Block, Relentless"
215441,Serhou Guirassy,Serhou Guirassy,ST,87,87,30,1996-03-12,187,82,Guinea,Borussia Dortmund,19,Bundesliga,Right,4,3,72,88,76,83,45,83,86,88,79,11,8,12,12,8,,"Chip Shot, Precision Header, Acrobatic, Low Driven Shot, First Touch, Finesse Shot+"
192985,Kevin De Bruyne,Kevin De Bruyne,"CM, CAM",87,87,35,1991-06-28,181,75,Belgium,SSC Napoli,,Serie A Enilive,Right,5,4,66,83,92,84,65,72,89,87,92,15,13,5,10,13,,"Dead Ball, Incisive Pass, Pinged Pass, Inventive, Whipped Pass+"
228702,Frenkie de Jong,Frenkie de Jong,"CM, CDM",87,87,29,1997-05-12,181,74,Netherlands,FC Barcelona,53,LALIGA EA SPORTS,Right,3,4,82,71,85,87,78,77,87,90,88,7,13,10,10,9,,"Incisive Pass, Inventive, Press Proven, Tiki Taka+"
256079,Moisés Caicedo,Moisés Caicedo,"CDM, CM",87,89,24,2001-11-02,178,73,Ecuador,Chelsea,13,Premier League,Right,3,3,71,64,78,81,84,82,84,83,79,15,6,13,9,13,,"Pinged Pass, Tiki Taka, Intercept, Anticipate, Press Proven, Relentless, Slide Tackle+"
234378,Declan Rice,Declan Rice,"CDM, CM",87,88,27,1999-01-14,185,80,England,Arsenal,13,Premier League,Right,3,3,72,73,84,80,83,83,85,86,79,8,11,14,5,9,,"Dead Ball, Whipped Pass, Block, Intercept, Aerial Fortress, Press Proven, Relentless"
207865,Marquinhos,Marcos Aoás Corrêa,CB,87,87,32,1994-05-14,183,75,Brazil,Paris SG,,Ligue 1 McDonald's,Right,3,3,78,56,75,74,89,80,86,86,76,6,6,12,10,13,,"Jockey, Anticipate, Aerial Fortress, Intercept+"
177683,Yann Sommer,Yann Sommer,GK,87,87,37,1988-12-17,183,77,Switzerland,Lombardia FC,,Serie A Enilive,Right,4,1,83,82,85,89,50,87,83,54,64,83,82,85,87,89,,Far Reach+
241486,Jules Koundé,Jules Koundé,"RB, CB, RM",87,88,27,1998-11-12,180,75,France,FC Barcelona,53,LALIGA EA SPORTS,Right,3,3,84,47,74,79,86,84,86,82,70,11,10,8,14,13,,"Long Ball Pass, Slide Tackle, Aerial Fortress, Quick Step, Relentless, Jockey+"
212198,Bruno Fernandes,Bruno Miguel Borges Fernandes,"CAM, CM",87,87,31,1994-09-08,179,69,Portugal,Man Utd,13,Premier League,Right,4,4,67,83,89,83,65,75,90,85,92,12,14,15,8,14,,"Dead Ball, Gamechanger, Incisive Pass, Long Ball Pass, Tiki Taka, Inventive, Relentless+"
243715,William Saliba,William Saliba,CB,87,89,25,2001-03-24,193,85,France,Arsenal,13,Premier League,Right,3,2,77,39,68,72,87,83,86,82,62,7,10,6,8,11,,"Long Ball Pass, Jockey, Anticipate+"
246191,Julián Alvarez,Julián Alvarez,ST,87,90,26,2000-01-31,170,71,Argentina,Atlético de Madrid,,LALIGA EA SPORTS,Right,4,4,85,87,81,87,57,79,88,86,83,6,10,8,15,6,,"Finesse Shot, Press Proven+"
213331,Jonathan Tah,Jonathan Tah,CB,87,87,30,1996-02-11,195,94,Germany,FC Bayern München,19,Bundesliga,Right,3,2,63,38,60,63,87,86,85,79,57,11,8,7,9,14,,"Precision Header, Aerial Fortress, Anticipate+"
