player_id,name,first_name,last_name,short_name,date_of_birth,derived_age,nationality,nationality_raw,nationality_id,height,weight,club,club_id,league,league_id,position,positions,alternative_positions,position_type,preferred_foot,overall,potential,pace,acceleration,sprint_speed,shooting,finishing,shot_power,long_shots,volleys,penalties,positioning,passing,vision,crossing,free_kick_accuracy,short_passing,long_passing,curve,dribbling,agility,balance,reactions,ball_control,composure,defending,interceptions,heading_accuracy,defensive_awareness,standing_tackle,sliding_tackle,physical,jumping,stamina,strength,aggression,weak_foot,skill_moves,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,value,wage,release_clause,contract_until,playstyles,playstyles_plus,gender,gender_id,source,source_player_id,source_url,overall_source,attributes_source,potential_source,data_version,scraped_at
227203,Alexia Putellas,Alexia,Putellas Segura,Alexia Putellas,1994-02-04,32,Spain,Spain,45,173,68,FC Barcelona,116325,Liga F Moeve,,CM,"CM, CAM, CDM","CAM, CDM",Midfielder,Left,91,,82,81,82,89,91,86,88,87,89,91,90,92,88,85,91,90,89,91,90,89,91,92,92,72,78,74,60,81,64,80,85,85,81,70,5,5,15,17,11,15,10,,,,,"Finesse Shot, Gamechanger, Incisive Pass, Tiki Taka, Inventive, Technical",First Touch+,Women's Football,1,ea-drop-api,227203,https://www.ea.com/games/ea-sports-fc/ratings?playerId=227203,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
241667,Aitana Bonmatí,Aitana,Bonmatí Conca,Aitana Bonmatí,1998-01-18,28,Spain,Spain,45,163,53,FC Barcelona,116325,Liga F Moeve,,CM,"CM, CAM",CAM,Midfielder,Right,91,,85,84,86,87,91,79,89,80,70,91,86,90,74,77,91,90,78,91,93,86,91,91,85,77,88,54,75,81,67,75,76,82,75,64,5,4,9,15,11,12,14,,,,,"Low Driven Shot, Incisive Pass, Pinged Pass, Tiki Taka, Inventive, First Touch",Technical+,Women's Football,1,ea-drop-api,241667,https://www.ea.com/games/ea-sports-fc/ratings?playerId=241667,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
227102,Caroline Graham Hansen,Caroline,Graham Hansen,,1995-02-18,31,Norway,Norway,36,175,62,FC Barcelona,116325,Liga F Moeve,,RW,"RW, RM",RM,Attack,Right,90,,89,90,88,87,86,88,88,89,79,87,88,89,90,85,89,84,92,90,94,75,83,90,84,47,35,71,45,50,46,76,84,87,74,66,5,5,17,11,15,13,9,,,,,"Finesse Shot, Long Ball Pass, Technical, First Touch, Quick Step",Trickster+,Women's Football,1,ea-drop-api,227102,https://www.ea.com/games/ea-sports-fc/ratings?playerId=227102,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
258980,Alessia Russo,Alessia,Russo,,1999-02-08,27,England,England,14,173,64,Arsenal,116009,Barclays WSL,,ST,"ST, CAM, CM","CAM, CM",Attack,Right,89,,82,81,82,88,90,88,86,84,76,90,70,69,64,65,81,60,64,87,81,73,89,90,84,39,34,90,29,37,35,73,91,72,79,55,3,4,9,12,10,14,13,,,,,"Finesse Shot, Aerial Fortress, Rapid, First Touch, Enforcer",Precision Header+,Women's Football,1,ea-drop-api,258980,https://www.ea.com/games/ea-sports-fc/ratings?playerId=258980,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
237288,Mariona,María Francesca,Caldentey Oliver,Mariona,1996-03-19,30,Spain,Spain,45,165,62,Arsenal,116009,Barclays WSL,,CM,"CM, CDM, RW, CAM","CDM, RW, CAM",Midfielder,Right,89,,78,81,76,84,89,75,89,56,80,81,86,88,84,72,89,89,75,90,92,93,86,89,84,76,79,61,75,80,77,79,73,93,78,65,4,4,13,8,11,11,9,,,,,"Incisive Pass, Long Ball Pass, Tiki Taka, Inventive, Technical, First Touch",Relentless+,Women's Football,1,ea-drop-api,237288,https://www.ea.com/games/ea-sports-fc/ratings?playerId=237288,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
237289,Patri Guijarro,Patricia,Guijarro Gutiérrez,Patri Guijarro,1998-05-17,28,Spain,Spain,45,170,73,FC Barcelona,116325,Liga F Moeve,,CDM,"CDM, CM",CM,Midfielder,Right,89,,78,78,78,82,80,89,91,58,70,80,83,84,69,66,90,92,75,87,82,87,86,90,84,86,84,84,86,87,85,83,90,78,85,82,4,4,14,8,9,17,17,,,,,"Incisive Pass, Tiki Taka, Inventive, Aerial Fortress, First Touch, Press Proven",Long Ball Pass+,Women's Football,1,ea-drop-api,237289,https://www.ea.com/games/ea-sports-fc/ratings?playerId=237289,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
246219,Khadija Shaw,Khadija,Shaw,,1997-01-31,29,Jamaica,Jamaica,82,180,70,Manchester City,116017,Barclays WSL,,ST,ST,,Attack,Right,89,,71,72,71,89,93,93,84,77,75,91,71,79,59,63,78,68,58,81,62,48,88,89,86,32,25,91,23,30,20,85,92,83,91,71,4,3,10,15,10,7,10,,,,,"Low Driven Shot, Press Proven, Enforcer",Precision Header+,Women's Football,1,ea-drop-api,246219,https://www.ea.com/games/ea-sports-fc/ratings?playerId=246219,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
236479,Mapi León,María Pilar,León Cebrián,Mapi León,1995-06-13,31,Spain,Spain,45,170,58,FC Barcelona,116325,Liga F Moeve,,CB,CB,,Defense,Left,89,,75,73,77,68,61,78,78,49,64,70,79,62,81,85,85,84,82,76,73,86,90,82,91,90,90,83,91,90,89,82,88,75,85,84,3,2,12,8,11,14,12,,,,,"Dead Ball, Long Ball Pass, Jockey",Slide Tackle+,Women's Football,1,ea-drop-api,236479,https://www.ea.com/games/ea-sports-fc/ratings?playerId=236479,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
246272,Marie Katoto,Marie,Katoto,,1998-11-01,27,France,France,18,177,66,OL Lyonnes,116033,Arkema PL,,ST,ST,,Attack,Right,88,,85,88,82,87,90,84,83,91,82,91,77,79,71,72,85,70,71,84,84,68,82,87,86,39,27,91,37,35,30,74,95,71,85,44,4,4,14,12,11,14,8,,,,,"Aerial Fortress, Press Proven",Precision Header+,Women's Football,1,ea-drop-api,246272,https://www.ea.com/games/ea-sports-fc/ratings?playerId=246272,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
227361,Kadidiatou Diani,Kadidiatou,Diani,,1995-04-01,31,France,France,18,168,64,OL Lyonnes,116033,Arkema PL,,RW,"RW, ST, RM","ST, RM",Attack,Right,88,,92,91,93,85,90,79,84,74,71,88,81,84,79,70,87,74,74,88,89,84,84,89,88,56,55,81,46,60,49,79,89,80,89,52,4,4,15,7,7,15,13,,,,,"Precision Header, Gamechanger, Technical, Quick Step, Enforcer",Finesse Shot+,Women's Football,1,ea-drop-api,227361,https://www.ea.com/games/ea-sports-fc/ratings?playerId=227361,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
