player_id,name,match_tier,club_before,club_after,league_before,league_after
231443,Ousmane Dembélé,id,Paris Saint-Germain,Paris SG,Ligue 1,Ligue 1 McDonald's
235212,Achraf Hakimi,id,Paris Saint-Germain,Paris SG,Ligue 1,Ligue 1 McDonald's
255253,Vitinha,id,Paris Saint-Germain,Paris SG,Ligue 1,Ligue 1 McDonald's
231478,Lautaro Martínez,id,Inter,Lombardia FC,Serie A,Serie A Enilive
200389,Jan Oblak,id,Atlético Madrid,Atlético de Madrid,La Liga,LALIGA EA SPORTS
247635,Khvicha Kvaratskhelia,id,Paris Saint-Germain,Paris SG,Ligue 1,Ligue 1 McDonald's
237383,Alessandro Bastoni,id,Inter,Lombardia FC,Serie A,Serie A Enilive
192985,Kevin De Bruyne,id,Napoli,SSC Napoli,Serie A,Serie A Enilive
207865,Marquinhos,id,Paris Saint-Germain,Paris SG,Ligue 1,Ligue 1 McDonald's
177683,Yann Sommer,id,Inter,Lombardia FC,Serie A,Serie A Enilive
212198,Bruno Fernandes,id,Manchester United,Man Utd,Premier League,Premier League
246191,Julián Alvarez,id,Atlético Madrid,Atlético de Madrid,La Liga,LALIGA EA SPORTS
215698,Mike Maignan,id,AC Milan,Milano FC,Serie A,Serie A Enilive
224232,Nicolò Barella,id,Inter,Lombardia FC,Serie A,Serie A Enilive
232293,Victor Osimhen,id,Galatasaray SK,Galatasaray,Süper Lig,Trendyol Süper Lig
252145,Nuno Mendes,id,Paris Saint-Germain,Paris SG,Ligue 1,Ligue 1 McDonald's
211110,Paulo Dybala,id,Roma,AS Roma,Serie A,Serie A Enilive
247851,Bruno Guimarães,id,Newcastle United,Newcastle Utd,Premier League,Premier League
256196,Willian Pacho,id,Paris Saint-Germain,Paris SG,Ligue 1,Ligue 1 McDonald's
208128,Hakan Çalhanoğlu,id,Inter,Lombardia FC,Serie A,Serie A Enilive
158023,Lionel Messi,id,Inter Miami,Inter Miami CF,Major League Soccer,MLS
241096,Sandro Tonali,id,Newcastle United,Newcastle Utd,Premier League,Premier League
210257,Ederson,id,Fenerbahçe SK,Fenerbahçe,Süper Lig,Trendyol Süper Lig
226268,Federico Dimarco,id,Inter,Lombardia FC,Serie A,Serie A Enilive
237238,Scott McTominay,id,Napoli,SSC Napoli,Serie A,Serie A Enilive
272834,João Neves,id,Paris Saint-Germain,Paris SG,Ligue 1,Ligue 1 McDonald's
194765,Antoine Griezmann,id,Atlético Madrid,Atlético de Madrid,La Liga,LALIGA EA SPORTS
243014,Bryan Mbeumo,id,Manchester United,Man Utd,Premier League,Premier League
271421,Désiré Doué,id,Paris Saint-Germain,Paris SG,Ligue 1,Ligue 1 McDonald's
228093,Marcus Thuram,id,Inter,Lombardia FC,Serie A,Serie A Enilive
200104,Heung Min Son,id,Los Angeles FC,LAFC,Major League Soccer,MLS
226271,Fabián Ruiz,id,Paris Saint-Germain,Paris SG,Ligue 1,Ligue 1 McDonald's
234236,Patrik Schick,id,Bayer 04 Leverkusen,Leverkusen,Bundesliga,Bundesliga
226161,Marcos Llorente,id,Atlético Madrid,Atlético de Madrid,La Liga,LALIGA EA SPORTS
212616,Rodrigo De Paul,id,Inter Miami,Inter Miami CF,Major League Soccer,MLS
233096,Denzel Dumfries,id,Inter,Lombardia FC,Serie A,Serie A Enilive
210035,Grimaldo,id,Bayer 04 Leverkusen,Leverkusen,Bundesliga,Bundesliga
226851,Benjamin Pavard,id,Olympique de Marseille,OM,Ligue 1,Ligue 1 McDonald's
257279,Álex Baena,id,Atlético Madrid,Atlético de Madrid,La Liga,LALIGA EA SPORTS
220502,Mattia Zaccagni,id,Lazio,Latium,Serie A,Serie A Enilive
231521,Exequiel Palacios,id,Bayer 04 Leverkusen,Leverkusen,Bundesliga,Bundesliga
245367,Xavi Simons,id,Tottenham Hotspur,Spurs,Premier League,Premier League
227796,Christian Pulisic,id,AC Milan,Milano FC,Serie A,Serie A Enilive
220697,James Maddison,id,Tottenham Hotspur,Spurs,Premier League,Premier League
252154,Marco Carnesecchi,id,Atalanta,Bergamo Calcio,Serie A,Serie A Enilive
241721,Rafael Leão,id,AC Milan,Milano FC,Serie A,Serie A Enilive
192505,Romelu Lukaku,id,Napoli,SSC Napoli,Serie A,Serie A Enilive
197781,Isco,id,Real Betis Balompié,Real Betis,La Liga,LALIGA EA SPORTS
264652,Bradley Barcola,id,Paris Saint-Germain,Paris SG,Ligue 1,Ligue 1 McDonald's
230899,Ademola Lookman,id,Atalanta,Bergamo Calcio,Serie A,Serie A Enilive
204485,Riyad Mahrez,id,Al Ahli SFC,Al Ahli,Pro League,ROSHN Saudi League
216549,Alexander Sørloth,id,Atlético Madrid,Atlético de Madrid,La Liga,LALIGA EA SPORTS
199845,Francesco Acerbi,id,Inter,Lombardia FC,Serie A,Serie A Enilive
198176,Stefan de Vrij,id,Inter,Lombardia FC,Serie A,Serie A Enilive
210008,Adrien Rabiot,id,AC Milan,Milano FC,Serie A,Serie A Enilive
192883,Henrikh Mkhitaryan,id,Inter,Lombardia FC,Serie A,Serie A Enilive
223959,Lucas Torreira,id,Galatasaray SK,Galatasaray,Süper Lig,Trendyol Süper Lig
217870,Giovanni Di Lorenzo,id,Napoli,SSC Napoli,Serie A,Serie A Enilive
247394,Dejan Kulusevski,id,Tottenham Hotspur,Spurs,Premier League,Premier League
247103,Dávid Hancko,id,Atlético Madrid,Atlético de Madrid,La Liga,LALIGA EA SPORTS
242964,Anthony Gordon,id,Newcastle United,Newcastle Utd,Premier League,Premier League
251752,Lucas Chevalier,id,Paris Saint-Germain,Paris SG,Ligue 1,Ligue 1 McDonald's
228813,Aleix García,id,Bayer 04 Leverkusen,Leverkusen,Bundesliga,Bundesliga
216435,Stanislav Lobotka,id,Napoli,SSC Napoli,Serie A,Serie A Enilive
177003,Luka Modrić,id,AC Milan,Milano FC,Serie A,Serie A Enilive
193698,Oliver Baumann,id,TSG 1899 Hoffenheim,TSG Hoffenheim,Bundesliga,Bundesliga
240243,Matheus Cunha,id,Manchester United,Man Utd,Premier League,Premier League
199641,Matz Sels,id,Nottingham Forest,Nott'm Forest,Premier League,Premier League
