player_id,name,match_tier,position_before,position_after
246172,Samuel Chukwueze,id,RM,RW
233049,Jadon Sancho,id,LM,LW
258444,Evann Guessand,id,RM,RW
261050,Francisco Conceição,id,CAM,RM
239978,Dennis Man,id,RW,RM
70571,Kevin,id,LM,LW
243034,Alfon,id,LM,RM
257118,Ilan Kebbal,id,RM,CAM
244399,Timothé Cognat,id,CM,CDM
257208,Michel Ange Balikwisha,id,LW,LM
220139,Sammie Szmodics,id,CAM,LM
143121,José Sosa,id,CM,CAM
264349,James McAtee,id,RM,RW
229472,Finn Porath,id,RM,LM
256287,Facundo Farías,id,ST,CAM
263929,Matteo Cancellieri,id,RM,LM
248356,Thierno Ballo,id,LM,LW
212381,Roberto Insigne,id,CAM,RW
70841,Malick Yalcouyé,id,CM,RM
73895,Justin Devenny,id,CAM,CM
245157,Stoichkov,id,ST,LM
235834,Fabio Depaoli,id,RB,RM
277668,Frans Krätzig,id,LB,LM
225028,Nemanja Radoja,id,CDM,CM
254206,Alexander Alvarado,id,CAM,LW
202088,Felix Klaus,id,CAM,RM
277809,Kodai Sano,id,CDM,CM
71451,Ondřej Zmrzlý,id,LM,LB
263787,Victor Bobsin,id,CM,CDM
245357,Lisandro Alzugaray,id,ST,RW
74502,Owen Kouassi,id,RB,CB
258922,Marvin,id,RB,RM
186395,Matt Ritchie,id,RW,RM
252470,Matchoi Djaló,id,CAM,CM
71110,Sindre Walle Egeli,id,RM,RW
269719,Santiago Hidalgo,id,RW,RM
256427,Mayckel Lahdo,id,RW,RM
73561,Guruzeta,id,LM,RM
260977,Faisal Al Ghamdi,id,CDM,CM
270611,Duk,id,LM,ST
221986,Jeff Hardeveld,id,LM,LB
77104,Andrija Radulović,id,RM,RW
258149,Alan Cantero,id,ST,CAM
256545,Ante Bajić,id,RM,ST
278157,Ángel Torres,id,LM,RM
270704,Dylan Durivaux,id,CB,RB
269915,Lautaro Pastrán,id,LM,LW
275019,Edan Diop,id,LM,RM
70301,Pablo Sáenz,id,RM,ST
266033,Daniel Edelman,id,CDM,CM
264644,Paddy Lane,id,LW,LM
260910,Shola Shoretire,id,LM,LW
277501,Petter Nosa Dahl,id,LM,LW
256555,Jeriel Dorsett,id,LB,CB
244394,Clemente,id,LB,CB
256604,Daniel Luna,id,RM,CAM
269952,Yvandro Borges Sanches,id,LW,LM
238177,Anthony Hartigan,id,CDM,CM
74980,Nikolaus Wurmbrand,id,RM,ST
254244,Nabil Touaizi,id,RM,ST
79920,Dominik Weixelbraun,id,LM,LW
80067,Khalis Merah,id,CAM,CM
257666,Damian Hilbrycht,id,RM,LM
271937,Dawid Drachal,id,CAM,RM
277485,Sidiki Chérif,id,LM,ST
258196,Yassine Benhattab,id,RW,CAM
214065,Hans Salinas,id,LB,LM
240978,Danny Mândroiu,id,CM,LW
74545,Guirao,id,CDM,CM
75073,Fabricio Pérez,id,RM,LM
252754,Josh Honohan,id,LB,CB
264512,Axel Camblan,id,RM,LW
223696,Mohamed Hamdaoui,id,LM,ST
73260,Jason Daði Svanþórs­son,id,RM,RB
233051,Luke Bolton,id,RM,RB
265478,Emiliano Viveros,id,LW,CM
79691,Nodar Lominadze,id,CM,CDM
204007,Tom Nichols,id,CM,ST
274734,Charles Petro,id,CB,CDM
73927,Marcelo,id,CDM,CM
271013,Patrick Nuamah,id,LM,CM
248227,Carlo Armiento,id,LW,LM
214747,Diego Orellana,id,CDM,CM
270475,Patrick Brouwer,id,CAM,RM
224701,Zhang Yudong,id,CM,CDM
226021,Guo Hao,id,CM,CDM
243163,Danny Grant,id,RB,LM
221358,Jordan Rossiter,id,CM,CDM
252099,Peter Gál-Andrezly,id,RM,LM
242984,Simon Power,id,LW,RW
74491,Dayann Methalie,id,LB,CB
72034,Maat Daniel Caprini,id,LM,LW
265829,Evan Weir,id,CB,LB
77124,Ben Perry,id,CDM,CM
263424,Malcolm Viltard,id,CDM,CM
279201,Matt Sheridan,id,CDM,RB
79246,Tobías Andrada,id,CAM,CM
77593,Mateus Mané,id,RW,ST
74792,Lisandro Piñero,id,RM,LM
70781,Benjamin Fredrick,id,RB,CB
261164,Adrian Durrer,id,CDM,CB
261677,Ryan O'Kane,id,RM,LM
270374,Seb Quirk,id,CDM,CM
228195,Prabir Das,id,RM,RB
263324,Joe Snowdon,id,RB,CAM
228292,Ciaron Harkin,id,CDM,CM
73959,Alexandru Bota,id,LM,CM
270000,Abdullah Al Enazi,id,RM,RW
73699,Jin Yonghao,id,LM,LW
277345,Josh Fitzpatrick,id,LM,ST
242730,Jack Evans,id,CDM,CM
274232,Jung Jin Woo,id,CDM,CM
275323,Freddy Willcox,id,CB,CM
277995,Calum Agius,id,LM,CAM
