id,name,club,league,position,overall
205083,Fayçal Fajr,Al Taawoun,ROSHN Saudi League,CM,76
269456,Muhammed Cham,Slavia Praha,Česká Liga,CAM,75
263059,Tomás Händel,Red Star FC,Ligue 2 BKT,CDM,74
223198,Ali Adnan,,ROSHN Saudi League,LB,72
245694,Adama Traoré,Gençlerbirliği,Trendyol Süper Lig,RM,72
241673,Borna Barišić,Trabzonspor,Trendyol Süper Lig,LB,71
194847,Ryan Mendes,Kocaelispor,Trendyol Süper Lig,LM,71
244296,Emil Riis,Bristol City,EFL Championship,ST,71
261758,Jacques Siwe,En Avant Guingamp,Ligue 2 BKT,ST,71
186651,Güray Vural,,Trendyol Süper Lig,LB,70
236671,Ángelo Martino,Newell's,LPF,LB,70
264263,Isak Jensen,,Eredivisie,LM,70
231697,Anderson Arroyo,Burgos CF,LALIGA HYPERMOTION,RB,70
229406,João Novais,Rio Ave FC,Liga Portugal,CM,69
220177,Gheorghe Grozav,FC Petrolul,SUPERLIGA,LM,69
72873,Badavi Hüseynov,Qarabağ FK,Liga Azerbaijan,CB,69
279920,Guillermo Cotugno,,Sudamericana,CB,69
257804,Fatih Kuruçuk,,Trendyol Süper Lig,CB,69
252362,Matías García,Aldosivi,LPF,LM,68
240943,Bilel Aouacheria,,ROSHN Saudi League,LW,67
234514,Oualid El Hajjam,Havre AC,Ligue 1 McDonald's,RB,67
255155,Mourad Daoudi El Ghezouani,Elche CF,LALIGA EA SPORTS,ST,67
207805,Loret Sadiku,Kasımpaşa,Trendyol Süper Lig,CDM,67
200223,Adam Maher,,ROSHN Saudi League,CM,66
246560,Daniel Popa,Gençlerbirliği,Trendyol Süper Lig,ST,66
240260,Sylla Sow,,ROSHN Saudi League,ST,66
267458,Yomar Rocha,,Libertadores,RB,65
260520,Dubán Palacio,,Sudamericana,LW,65
248696,Marcus Bundgaard,Sønderjyske,3F Superliga,GK,65
220178,Jeremy Bokila,Livingston,Scottish Prem,ST,65
275431,Alexis Fariña,,Libertadores,CAM,65
244305,Rubén Ramírez,,Libertadores,CB,65
210134,Mohammed Al Fatil,Al Nassr,ROSHN Saudi League,CB,65
262879,Dominic Jefferies,Lincoln City,EFL League One,LM,64
79132,Cihat Çelik,Kocaelispor,Trendyol Süper Lig,CM,64
240587,Fahad Al Jumayah,Al Taawoun,ROSHN Saudi League,RB,64
262844,Algassime Bah,APOEL FC,Liga Cyprus,ST,64
208989,Freddie Ladapo,Huddersfield,EFL League One,ST,64
275624,Deniz Dilmen,Başakşehir,Trendyol Süper Lig,GK,64
240055,Mert Yılmaz,,Trendyol Süper Lig,RB,63
209223,Awadh Khamis,,ROSHN Saudi League,RB,63
277912,Noha Lemina,FC Annecy,Ligue 2 BKT,LM,63
267750,Renzo Sanchez,,Libertadores,RW,63
239333,Mete Kaan Demir,Eyüpspor,Trendyol Süper Lig,LW,63
275694,Anıl Yaşar,Çaykur Rizespor,Trendyol Süper Lig,CB,63
259153,Doğukan Özkan,,Trendyol Süper Lig,GK,62
269836,Emrecan Uzunhan,Beşiktaş,Trendyol Süper Lig,CB,62
74496,Coli Saco,SSC Napoli,Serie A Enilive,CM,61
229922,Osama Al Khalaf,Neom,ROSHN Saudi League,RM,61
73081,Loïc Etoga,,Ligue 2 BKT,CDM,61
