league_id,country,team_id,team_name,current_template_players,target_squad_size,missing_players_for_team,extra_template_players,status
ger,Germany,fc-heidenheim,1. FC Heidenheim,25,25,4,0,needs_real_players
cze,Czechia,slovacko,1. FC Slovácko,0,25,25,0,needs_real_players
ger,Germany,union-berlin,1. FC Union Berlin,25,25,3,0,needs_real_players
ger,Germany,mainz-05,1. FSV Mainz 05,25,25,5,0,needs_real_players
den,Denmark,aarhus-gf,Aarhus GF,0,25,25,0,needs_real_players
sco,Scotland,aberdeen,Aberdeen FC,0,25,25,0,needs_real_players
ita,Italy,ac-milan,AC Milan,25,25,2,0,needs_real_players
ita,Italy,monza,AC Monza,25,25,4,0,needs_real_players
fin,Finland,ac-oulu,AC Oulu,0,25,25,0,needs_real_players
cze,Czechia,sparta-prague,AC Sparta Prague,0,25,25,0,needs_real_players
ita,Italy,fiorentina,ACF Fiorentina,25,25,4,0,needs_real_players
tur,Turkey,adana-demirspor,Adana Demirspor,0,25,25,0,needs_real_players
gre,Greece,aek-athens,AEK Athens FC,0,25,25,0,needs_real_players
cyp,Cyprus,aek-larnaca,AEK Larnaca,0,25,25,0,needs_real_players
cyp,Cyprus,ael-limassol,AEL Limassol,0,25,25,0,needs_real_players
ned,Netherlands,ajax,AFC Ajax,25,25,4,0,needs_real_players
eng,England,bournemouth,AFC Bournemouth,25,25,0,0,ready
swe,Sweden,aik,AIK,0,25,25,0,needs_real_players
fra,France,auxerre,AJ Auxerre,25,25,2,0,needs_real_players
tur,Turkey,alanyaspor,Alanyaspor,0,25,25,0,needs_real_players
ned,Netherlands,almere-city,Almere City FC,25,25,3,0,needs_real_players
fra,France,angers,Angers SCO,25,25,3,0,needs_real_players
cyp,Cyprus,anorthosis-famagusta,Anorthosis Famagusta,0,25,25,0,needs_real_players
tur,Turkey,antalyaspor,Antalyaspor,0,25,25,0,needs_real_players
cyp,Cyprus,apoel,APOEL Nicosia,0,25,25,0,needs_real_players
cyp,Cyprus,apollon-limassol,Apollon Limassol,0,25,25,0,needs_real_players
bgr,Bulgaria,arda-kardzhali,Arda Kardzhali,0,25,25,0,needs_real_players
cyp,Cyprus,aris-limassol,Aris Limassol,0,25,25,0,needs_real_players
gre,Greece,aris-thessaloniki,Aris Thessaloniki FC,0,25,25,0,needs_real_players
eng,England,arsenal,Arsenal,25,25,0,0,ready
fra,France,monaco,AS Monaco,25,25,3,0,needs_real_players
ita,Italy,as-roma,AS Roma,25,25,4,0,needs_real_players
fra,France,saint-etienne,AS Saint-Étienne,25,25,3,0,needs_real_players
svk,Slovakia,trencin,AS Trenčín,0,25,25,0,needs_real_players
gre,Greece,asteras-tripolis,Asteras Tripolis FC,0,25,25,0,needs_real_players
eng,England,aston-villa,Aston Villa,25,25,0,0,ready
ita,Italy,atalanta,Atalanta,25,25,4,0,needs_real_players
esp,Spain,athletic-bilbao,Athletic Bilbao,25,25,0,0,ready
