league_id,country,team_id,team_name,missing_slot_index,position,required_real_player_name,age,nationality,preferred_foot,real_world_club,source_season,source_verified,notes,current_template_players,target_squad_size,missing_players_for_team,target_overall,target_potential,target_value_eur,target_weekly_wage_eur,target_contract_years,pace,shooting,passing,defending,physical,mental,professionalism,ambition,temperament,loyalty,leadership,fifa_pace,fifa_shooting,fifa_passing,fifa_dribbling,fifa_defending,fifa_physical,fifa_diving,fifa_handling,fifa_kicking,fifa_reflexes,fifa_speed,fifa_positioning
ger,Germany,fc-heidenheim,1. FC Heidenheim,1,CB,TBD,TBD,TBD,TBD,1. FC Heidenheim,2025/26,no,,25,25,4,59,67,9600000,26100,3,51,35,49,63,65,59,8,8,8,8,6,51,35,49,47,63,65,,,,,,
ger,Germany,fc-heidenheim,1. FC Heidenheim,2,CB,TBD,TBD,TBD,TBD,1. FC Heidenheim,2025/26,no,,25,25,4,59,67,9600000,26100,3,51,35,49,63,65,59,8,8,8,8,6,51,35,49,47,63,65,,,,,,
ger,Germany,fc-heidenheim,1. FC Heidenheim,3,RB,TBD,TBD,TBD,TBD,1. FC Heidenheim,2025/26,no,,25,25,4,60,68,10000000,27000,3,65,42,58,60,61,57,8,8,8,8,6,65,42,58,62,60,61,,,,,,
ger,Germany,fc-heidenheim,1. FC Heidenheim,4,CM,TBD,TBD,TBD,TBD,1. FC Heidenheim,2025/26,no,,25,25,4,61,69,10400000,27900,3,60,57,65,59,61,61,9,9,9,9,7,60,57,65,66,59,61,,,,,,
cze,Czechia,slovacko,1. FC Slovácko,1,GK,TBD,TBD,TBD,TBD,1. FC Slovácko,2025/26,no,,0,25,25,48,56,5200000,16200,3,35,35,35,35,38,46,4,4,4,4,2,,,,,,,50,48,46,51,35,49
cze,Czechia,slovacko,1. FC Slovácko,2,GK,TBD,TBD,TBD,TBD,1. FC Slovácko,2025/26,no,,0,25,25,48,56,5200000,16200,3,35,35,35,35,38,46,4,4,4,4,2,,,,,,,50,48,46,51,35,49
cze,Czechia,slovacko,1. FC Slovácko,3,CB,TBD,TBD,TBD,TBD,1. FC Slovácko,2025/26,no,,0,25,25,48,56,5200000,16200,3,40,35,38,52,54,48,4,4,4,4,2,40,35,38,36,52,54,,,,,,
cze,Czechia,slovacko,1. FC Slovácko,4,CB,TBD,TBD,TBD,TBD,1. FC Slovácko,2025/26,no,,0,25,25,48,56,5200000,16200,3,40,35,38,52,54,48,4,4,4,4,2,40,35,38,36,52,54,,,,,,
cze,Czechia,slovacko,1. FC Slovácko,5,CB,TBD,TBD,TBD,TBD,1. FC Slovácko,2025/26,no,,0,25,25,48,56,5200000,16200,3,40,35,38,52,54,48,4,4,4,4,2,40,35,38,36,52,54,,,,,,
cze,Czechia,slovacko,1. FC Slovácko,6,CB,TBD,TBD,TBD,TBD,1. FC Slovácko,2025/26,no,,0,25,25,48,56,5200000,16200,3,40,35,38,52,54,48,4,4,4,4,2,40,35,38,36,52,54,,,,,,
